b2a81186-3114-4bc2-a407-609fec102af7,Nikola Hermanni,nikola_72,nikola_72@gmail.com,,,,contaminated groundwater effects,135.207.196.253,33965,02/07/2016 05:00:11,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
b2a81186-3114-4bc2-a407-609fec102af7,Nikola Hermanni,nikola_72,nikola_72@gmail.com,,,,fracking concerns,135.207.196.253,848,07/08/2016 06:45:33,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
b2a81186-3114-4bc2-a407-609fec102af7,Nikola Hermanni,nikola_72,nikola_72@gmail.com,,,,fracking chemicals,135.207.196.253,8790,02/08/2016 05:26:43,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
b2a81186-3114-4bc2-a407-609fec102af7,Nikola Hermanni,nikola_72,nikola_72@gmail.com,,,,fracking toxicity,135.207.196.253,11212,13/07/2016 05:51:51,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
b2a81186-3114-4bc2-a407-609fec102af7,Nikola Hermanni,nikola_72,nikola_72@gmail.com,,,,high-pressure fracking,135.207.196.253,51772,05/08/2016 05:54:44,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,minecorp BTEX,249.136.169.34,2697,27/07/2016 11:14:01,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.00
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,minecorp court case 2014 fracking,249.136.169.34,1221,31/07/2016 08:52:33,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.01
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,minecorp wastewater storage,249.136.169.34,11293,08/08/2016 05:00:42,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.02
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,minecorp FOI request,249.136.169.34,30126,12/07/2016 06:24,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.03
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,BTEX chemical,249.136.169.34,3892,31/07/2016 12:32:11,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.04
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,benzene ethylbenzene toluene xylene,249.136.169.34,10119,16/07/2016 03:27:44,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.05
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,Minecorp BTEX public statement,249.136.169.34,30434,26/07/2016 12:34:00,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.06
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,edward snowden whistlebleowing,249.136.169.34,10323,31/07/2016 08:10:21,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.07
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,australian whistleblowers,249.136.169.34,15960,17/07/2016 09:04:43,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.08
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,edward snowden twitter,249.136.169.34,13614,06/07/2016 08:41:33,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.09
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,edward snowden coded tweet,249.136.169.34,31713,09/07/2016 09:15:44,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.10
07394281-44cc-45b1-b24f-b27c8ebbf63c,Ruperto Feodor,rupertf,rupertf@businessexcellence.org,,,,snowden leak,249.136.169.34,51082,31/07/2016 08:25:55,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.11
89bd5269-1d58-4500-8996-12764909cb33,snoow19,snoww19,snoww19@gmail.com,,,,benzene chemistry,140.208.232.117,54660,25/07/2016 04:12:24,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.12
89bd5269-1d58-4500-8996-12764909cb33,snoow19,snoww20,snoww19@gmail.com,,,,benzene stability,140.208.232.117,20322,12/08/2016 07:04:43,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.13
89bd5269-1d58-4500-8996-12764909cb33,snoow19,snoww21,snoww19@gmail.com,,,,benzene hydrocarbon ring,140.208.232.117,19488,29/07/2016 12:09:22,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.14
89bd5269-1d58-4500-8996-12764909cb33,snoow19,snoww22,snoww19@gmail.com,,,,benzene synthesis,140.208.232.117,21898,09/07/2016 05:43:44,Opera/8.56.(Windows 95; en-US) Presto/2.9.182 Version/11.15
